,compound,neg,neu,pos,published
0,0.9982,0.068,0.722,0.21,2018-05-20T01:57:00.000+03:00
1,0.0,0.0,1.0,0.0,2018-05-20T01:48:00.000+03:00
2,0.9959,0.022,0.825,0.153,2018-05-20T01:47:00.000+03:00
3,0.0,0.0,0.0,0.0,2018-05-20T01:43:00.000+03:00
4,0.9286,0.054,0.866,0.08,2018-05-20T01:39:00.000+03:00
5,0.9403,0.047,0.831,0.121,2018-05-20T01:34:00.000+03:00
6,0.9403,0.046,0.837,0.117,2018-05-20T01:34:00.000+03:00
7,0.8885,0.054,0.836,0.11,2018-05-20T01:34:00.000+03:00
8,0.8271,0.044,0.822,0.134,2018-05-20T01:34:00.000+03:00
9,0.7487,0.046,0.729,0.225,2018-05-20T01:32:00.000+03:00
10,0.2812,0.095,0.768,0.137,2018-05-20T01:31:00.000+03:00
11,0.7347,0.035,0.899,0.066,2018-05-20T01:30:00.000+03:00
12,-0.6892,0.144,0.803,0.053,2018-05-20T01:30:00.000+03:00
13,0.9134,0.0,0.785,0.215,2018-05-20T01:27:00.000+03:00
14,0.0,0.0,1.0,0.0,2018-05-20T01:26:00.000+03:00
15,0.9074,0.0,0.75,0.25,2018-05-20T01:26:00.000+03:00
16,0.743,0.0,0.733,0.267,2018-05-20T01:25:00.000+03:00
17,-0.2263,0.016,0.972,0.011,2018-05-20T01:24:00.000+03:00
18,0.8867,0.067,0.799,0.134,2018-05-20T01:23:00.000+03:00
19,0.4939,0.042,0.856,0.103,2018-05-20T01:22:00.000+03:00
20,0.985,0.015,0.799,0.186,2018-05-20T01:22:00.000+03:00
21,-0.818,0.209,0.639,0.153,2018-05-20T01:20:00.000+03:00
22,0.6369,0.059,0.868,0.073,2018-05-20T01:15:00.000+03:00
23,-0.6523,0.054,0.946,0.0,2018-05-20T01:14:00.000+03:00
24,0.9971,0.006,0.863,0.131,2018-05-20T01:13:00.000+03:00
25,0.7912,0.0,0.9,0.1,2018-05-20T01:13:00.000+03:00
26,0.0,0.0,1.0,0.0,2018-05-20T01:11:00.000+03:00
27,0.3915,0.075,0.815,0.11,2018-05-20T01:07:00.000+03:00
28,-0.4939,0.017,0.974,0.009,2018-05-20T01:02:00.000+03:00
29,0.9874,0.012,0.895,0.093,2018-05-20T00:59:00.000+03:00
30,0.0,0.0,1.0,0.0,2018-05-20T00:58:00.000+03:00
31,0.8904,0.0,0.889,0.111,2018-05-20T00:56:00.000+03:00
32,0.0,0.0,1.0,0.0,2018-05-20T00:48:00.000+03:00
33,0.976,0.041,0.884,0.075,2018-05-20T00:46:00.000+03:00
34,0.8655,0.0,0.835,0.165,2018-05-20T00:45:00.000+03:00
35,-0.7921,0.178,0.822,0.0,2018-05-20T00:43:00.000+03:00
36,0.9467,0.037,0.524,0.439,2018-05-20T00:43:00.000+03:00
37,0.9314,0.067,0.706,0.227,2018-05-20T00:40:00.000+03:00
38,0.4364,0.0,0.917,0.083,2018-05-20T00:37:00.000+03:00
39,0.4404,0.0,0.909,0.091,2018-05-20T00:34:00.000+03:00
40,0.7234,0.091,0.787,0.122,2018-05-20T00:33:00.000+03:00
41,0.9989,0.02,0.86,0.119,2018-05-20T00:33:00.000+03:00
42,0.0,0.0,0.0,0.0,2018-05-20T00:32:00.000+03:00
43,0.9966,0.044,0.852,0.104,2018-05-20T00:32:00.000+03:00
44,0.0,0.0,0.0,0.0,2018-05-20T00:31:00.000+03:00
45,0.6808,0.0,0.556,0.444,2018-05-20T00:29:00.000+03:00
46,0.0,0.0,0.0,0.0,2018-05-20T00:29:00.000+03:00
47,0.0,0.0,0.0,0.0,2018-05-20T00:28:00.000+03:00
48,0.0,0.0,1.0,0.0,2018-05-20T00:27:00.000+03:00
49,-0.1658,0.038,0.929,0.034,2018-05-20T00:26:00.000+03:00
50,0.8304,0.089,0.775,0.135,2018-05-20T00:26:00.000+03:00
51,0.4019,0.0,0.972,0.028,2018-05-20T00:22:00.000+03:00
52,0.0,0.0,1.0,0.0,2018-05-20T00:21:00.000+03:00
53,0.7963,0.046,0.761,0.192,2018-05-20T00:18:00.000+03:00
54,0.9441,0.0,0.837,0.163,2018-05-20T00:14:00.000+03:00
55,0.0772,0.105,0.787,0.108,2018-05-20T00:13:00.000+03:00
56,0.6114,0.024,0.936,0.04,2018-05-20T00:12:00.000+03:00
57,0.0,0.0,0.0,0.0,2018-05-20T00:08:00.000+03:00
58,0.965,0.009,0.872,0.118,2018-05-20T00:07:00.000+03:00
59,0.2732,0.0,0.951,0.049,2018-05-20T00:06:00.000+03:00
60,0.0,0.0,1.0,0.0,2018-05-20T00:02:00.000+03:00
61,0.8454,0.073,0.813,0.114,2018-05-20T00:02:00.000+03:00
62,0.0,0.0,1.0,0.0,2018-05-19T23:59:00.000+03:00
63,0.4404,0.0,0.919,0.081,2018-05-19T23:56:00.000+03:00
64,0.9969,0.006,0.866,0.127,2018-05-19T23:54:00.000+03:00
65,0.9571,0.0,0.948,0.052,2018-05-19T23:53:00.000+03:00
66,-0.0516,0.098,0.813,0.089,2018-05-19T23:52:00.000+03:00
67,-0.0258,0.02,0.963,0.017,2018-05-19T23:52:00.000+03:00
68,0.4404,0.0,0.962,0.038,2018-05-19T23:51:00.000+03:00
69,0.4404,0.0,0.962,0.038,2018-05-19T23:51:00.000+03:00
70,0.9153,0.039,0.822,0.139,2018-05-19T23:50:00.000+03:00
71,0.7777,0.0,0.82,0.18,2018-05-19T23:49:00.000+03:00
